filename,leather_type,gt_defect_present,gt_defects,llava_defect_present,llava_defect_type,llava_severity,llava_description,llava_raw_response,processing_time_s
BO001.tif,BO,True,color; grain off; cut; folding marks; (pin) holes,False,,,,DEFECT_PRESENT: No,23.4
BO002.tif,BO,True,cuts; wrinkles; folding marks,False,,,,DEFECT_PRESENT: No,19.8
BO003.tif,BO,True,scars/lines; grain off; color; (pin) holes; the marker color used for,False,,,,DEFECT_PRESENT: No,20.0
BO004.tif,BO,True,scars/lines; grain off; cuts; wrinkles/creases; defect annotation on the sample.,False,,,,DEFECT_PRESENT: No,19.9
BO005.tif,BO,True,cuts,False,,,,DEFECT_PRESENT: No,20.6
BO006.tif,BO,True,grain off; damages *; loose grain; *,True,,,,DEFECT_PRESENT: Yes,20.2
BO007.tif,BO,True,wrinkles; (pin) holes; cut; damages when,False,,,,DEFECT_PRESENT: No,20.2
BO008.tif,BO,True,wrinkles/creases; cut; skinning in the,False,,,,DEFECT_PRESENT: No,20.4
BO009.tif,BO,True,folding marks; (pin) holes; grain off; slaughterhouse,True,,,,DEFECT_PRESENT: Yes,19.6
BO010.tif,BO,True,color; scars/lines; tačkica,False,,,,DEFECT_PRESENT: No,19.6
BO011.tif,BO,True,folding marks; scars/lines; wrinkles; (pin) hole,False,,,,DEFECT_PRESENT: No,19.8
BO012.tif,BO,True,cuts; folding marks; scars/lines; (pin) holes,False,,,,DEFECT_PRESENT: No,19.9
BO013.tif,BO,True,wrinkles; scars/lines; (pin) holes,True,,,,DEFECT_PRESENT: Yes,19.9
BO014.tif,BO,True,cuts; (pin) hole,False,,,,DEFECT_PRESENT: No,19.5
BO015.tif,BO,True,grain off; line; (pin) hole; grain../brand marks,False,,,,DEFECT_PRESENT: No,19.9
BO016.tif,BO,True,scar/line; cut; wrinkles/creases; folding/wrinkles/creases,True,,,,DEFECT_PRESENT: Yes,20.1
BO017.tif,BO,True,folding marks; wrinkles/creases; (pin) holes; scars/lines/cuts,False,,,,DEFECT_PRESENT: No,20.4
BO018.tif,BO,True,loose grain; scars/lines; (pin) holes; wrinkles; (pin) holes/damages*,False,,,,DEFECT_PRESENT: No,19.8
BO019.tif,BO,True,scars/lines; cuts; (pin) holes; grain off; color,False,,,,DEFECT_PRESENT: No,20.0
BO020.tif,BO,True,wrinkles/creases; grain off,False,,,,DEFECT_PRESENT: No,20.0
BO021.tif,BO,True,cut; (pin) holes,False,,,,DEFECT_PRESENT: No,20.1
BO022.tif,BO,True,folding marks; cut; (pin) hole,False,,,,DEFECT_PRESENT: No,19.9
BO023.tif,BO,False,defect free,False,,,,DEFECT_PRESENT: No,20.4
BO024.tif,BO,True,folding marks; wrinkles; (pin) holes,False,,,,DEFECT_PRESENT: No,21.4
BO025.tif,BO,True,wrinkles; (pin) holes,False,,,,DEFECT_PRESENT: No,19.7
BO026.tif,BO,True,color; (pin) holes,False,,,,DEFECT_PRESENT: No,20.1
BO027.tif,BO,True,wrinkles,False,,,,DEFECT_PRESENT: No,21.8
BO028.tif,BO,True,grain off; folding marks; cut,False,,,,DEFECT_PRESENT: No,20.2
BO029.tif,BO,True,folding marks; wrinkles,False,,,,DEFECT_PRESENT: No,20.1
BO030.tif,BO,True,wrinkles/creases; color; folding marks,False,,,,DEFECT_PRESENT: No,21.7
BO031.tif,BO,True,grain off; wrinkles,True,,,,DEFECT_PRESENT: Yes,20.0
BO032.tif,BO,True,folding marks; color; wrinkles/creases,False,,,,DEFECT_PRESENT: No,20.2
BO033.tif,BO,True,folding marks; color; grain off; scars/lines; wrinkles; (pin) hole,False,,,,DEFECT_PRESENT: No,20.2
BO034.tif,BO,True,color; grain off; folding mark /wrinkle,False,,,,DEFECT_PRESENT: No,21.2
BO035.tif,BO,True,color; folding marks; wrinkles/creases; (pin) holes,False,,,,DEFECT_PRESENT: No,20.0
BO036.tif,BO,True,folding marks; (pin) hole,False,,,,DEFECT_PRESENT: No,20.3
BO037.tif,BO,True,grain off; wrinkles,False,,,,DEFECT_PRESENT: No,20.4
BO038.tif,BO,True,"wrinkles/creases; all damaged, too many wrinkles",False,,,,DEFECT_PRESENT: No,20.3
BO039.tif,BO,True,folding marks; loose grain; (pin) hole,False,,,,DEFECT_PRESENT: No,20.1
BO040.tif,BO,True,wrinkles,True,,,,DEFECT_PRESENT: Yes,20.4
BO041.tif,BO,True,(pin) holes,False,,,,DEFECT_PRESENT: No,19.9
BO042.tif,BO,True,folding marks; grain off; wrinkles/creases; (pin) holes,False,,,,DEFECT_PRESENT: No,20.5
BO043.tif,BO,True,folding marks; cut; color; loose grain; wrinkles,False,,,,DEFECT_PRESENT: No,20.4
BO044.tif,BO,True,cut; wrinkles,False,,,,DEFECT_PRESENT: No,20.0
BO045.tif,BO,True,color; wrinkles/creases,False,,,,DEFECT_PRESENT: No,20.6
BO046.tif,BO,True,folding marks; wrinkles/creases; (pin) hole,False,,,,DEFECT_PRESENT: No,20.1
BO047.tif,BO,False,defect free,False,,,,DEFECT_PRESENT: No,20.1
BO048.tif,BO,True,folding marks; grain off,False,,,,DEFECT_PRESENT: No,19.8
BO049.tif,BO,True,folding marks; cuts; wrinkles/creases; loose grain,True,,,,DEFECT_PRESENT: Yes,20.7
BO050.tif,BO,True,grain off; wrinkles/creases,False,,,,DEFECT_PRESENT: No,19.8
EL001.tif,EL,True,wrinkles/creases; cut; grain off,False,,,,DEFECT_PRESENT: No,21.0
EL002.tif,EL,True,cut; pin holes; grain off; wrinkles,False,,,,DEFECT_PRESENT: No,20.2
EL003.tif,EL,True,grain off *; (pin) holes; color,False,,,,DEFECT_PRESENT: No,20.1
EL004.tif,EL,True,(pin) holes,False,,,,DEFECT_PRESENT: No,19.7
EL005.tif,EL,True,color; wrinkles; (pin) holes,False,,,,DEFECT_PRESENT: No,20.4
EL006.tif,EL,True,folding marks; growth marks; wrinkles/creases; color,False,,,,DEFECT_PRESENT: No,19.6
EL007.tif,EL,True,grain off; wrinkles; folding marks; the marker color used for,False,,,,DEFECT_PRESENT: No,20.4
EL008.tif,EL,True,grain off; wrinkles; loose grain; (pin) holes; color; defect annotation on the sample.,False,,,,DEFECT_PRESENT: No,20.3
EL009.tif,EL,True,cut; wrinkles; lines; (pin) holes,False,,,,DEFECT_PRESENT: No,20.1
EL010.tif,EL,True,color; wrinkles; loose grain; (pin) holes,False,,,,DEFECT_PRESENT: No,20.3
EL011.tif,EL,True,scars/lines/cuts; folding marks; (pin) holes; grain../brand marks/growth marks,False,,,,DEFECT_PRESENT: No,19.8
EL012.tif,EL,True,scars/lines/cuts; (pin) holes; wrinkles; folding marks/wrinkles/creases,False,,,,DEFECT_PRESENT: No,20.2
EL013.tif,EL,True,color; grain off; scars/lines/cuts; wrinkles; (pin) holes; scars/lines/cuts,False,,,,DEFECT_PRESENT: No,20.2
EL014.tif,EL,True,color; (pin) holes; (pin) holes,False,,,,DEFECT_PRESENT: No,21.0
EL015.tif,EL,True,scars/lines; (pin) holes; color,False,,,,DEFECT_PRESENT: No,20.4
EL016.tif,EL,True,(pin) holes; scars/lines/cuts; color; grain off; wrinkles,False,,,,DEFECT_PRESENT: No,21.3
EL017.tif,EL,True,lines/scars; color; (pin) holes; wrinkles,False,,,,DEFECT_PRESENT: No,20.3
EL018.tif,EL,True,grain off; color; lines/scars; (pin) holes; wrinkles,False,,,,DEFECT_PRESENT: No,21.5
EL019.tif,EL,True,grain off; color; (pin) holes; wrinkles; lines/scars,False,,,,DEFECT_PRESENT: No,20.4
EL020.tif,EL,True,grain off; color; (pin) holes; folding marks,False,,,,DEFECT_PRESENT: No,19.8
